"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","Display Value","Numeric","Low","High","Comments"
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ETH","Ethiopia","","2010","2010","","AFR","Africa","","","","","41","41.47000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","FJI","Fiji","","2010","2010","","WPR","Western Pacific","","","","","29","29.04000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","FIN","Finland","","2010","2010","","EUR","Europe","","","","","17","16.54000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","FRA","France","","2010","2010","","EUR","Europe","","","","","18","18.37000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GAB","Gabon","","2010","2010","","AFR","Africa","","","","","35","35.47000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GMB","Gambia","","2010","2010","","AFR","Africa","","","","","44","43.98000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GEO","Georgia","","2010","2010","","EUR","Europe","","","","","17","16.57000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","DEU","Germany","","2010","2010","","EUR","Europe","","","","","13","13.48000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GHA","Ghana","","2010","2010","","AFR","Africa","","","","","39","38.59000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GRC","Greece","","2010","2010","","EUR","Europe","","","","","15","14.57000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GRD","Grenada","","2010","2010","","AMR","Americas","","","","","28","27.55000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GTM","Guatemala","","2010","2010","","AMR","Americas","","","","","41","41.49000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GIN","Guinea","","2010","2010","","AFR","Africa","","","","","43","42.90000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GNB","Guinea-Bissau","","2010","2010","","AFR","Africa","","","","","41","41.30000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GUY","Guyana","","2010","2010","","AMR","Americas","","","","","34","33.58000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","HTI","Haiti","","2010","2010","","AMR","Americas","","","","","36","35.94000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","HND","Honduras","","2010","2010","","AMR","Americas","","","","","37","36.76000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","HUN","Hungary","","2010","2010","","EUR","Europe","","","","","15","14.71000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ISL","Iceland","","2010","2010","","EUR","Europe","","","","","21","20.81000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","IND","India","","2010","2010","","SEAR","South-East Asia","","","","","31","30.59000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","IDN","Indonesia","","2010","2010","","SEAR","South-East Asia","","","","","27","27.04000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","IRN","Iran (Islamic Republic of)","","2010","2010","","EMR","Eastern Mediterranean","","","","","23","22.94000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","IRQ","Iraq","","2010","2010","","EMR","Eastern Mediterranean","","","","","43","43.16000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","IRL","Ireland","","2010","2010","","EUR","Europe","","","","","21","21.20000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ISR","Israel","","2010","2010","","EUR","Europe","","","","","27","27.24000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ITA","Italy","","2010","2010","","EUR","Europe","","","","","14","14.06000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","JAM","Jamaica","","2010","2010","","AMR","Americas","","","","","29","29.05000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","JPN","Japan","","2010","2010","","WPR","Western Pacific","","","","","13","13.36000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","JOR","Jordan","","2010","2010","","EMR","Eastern Mediterranean","","","","","38","37.51000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","KAZ","Kazakhstan","","2010","2010","","EUR","Europe","","","","","24","24.49000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","KEN","Kenya","","2010","2010","","AFR","Africa","","","","","42","42.46000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","KIR","Kiribati","","2010","2010","","WPR","Western Pacific","","","","","30","30.30000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","KWT","Kuwait","","2010","2010","","EMR","Eastern Mediterranean","","","","","27","26.70000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","KGZ","Kyrgyzstan","","2010","2010","","EUR","Europe","","","","","30","30.05000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","LAO","Lao People's Democratic Republic","","2010","2010","","WPR","Western Pacific","","","","","35","34.51000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","LVA","Latvia","","2010","2010","","EUR","Europe","","","","","14","13.85000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","LBN","Lebanon","","2010","2010","","EMR","Eastern Mediterranean","","","","","25","24.79000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","LSO","Lesotho","","2010","2010","","AFR","Africa","","","","","37","37.39000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","LBR","Liberia","","2010","2010","","AFR","Africa","","","","","43","43.49000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","LBY","Libya","","2010","2010","","EMR","Eastern Mediterranean","","","","","30","30.42000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","LTU","Lithuania","","2010","2010","","EUR","Europe","","","","","15","14.87000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","LUX","Luxembourg","","2010","2010","","EUR","Europe","","","","","18","17.66000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MDG","Madagascar","","2010","2010","","AFR","Africa","","","","","43","43.10000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MWI","Malawi","","2010","2010","","AFR","Africa","","","","","46","45.82000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MYS","Malaysia","","2010","2010","","WPR","Western Pacific","","","","","30","30.34000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MDV","Maldives","","2010","2010","","SEAR","South-East Asia","","","","","27","26.60000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MLI","Mali","","2010","2010","","AFR","Africa","","","","","47","47.16000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MLT","Malta","","2010","2010","","EUR","Europe","","","","","15","14.98000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MHL","Marshall Islands","","2010","2010","","WPR","Western Pacific","","","","","30","30.30000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MRT","Mauritania","","2010","2010","","AFR","Africa","","","","","40","39.88000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MUS","Mauritius","","2010","2010","","AFR","Africa","","","","","22","21.89000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MEX","Mexico","","2010","2010","","AMR","Americas","","","","","29","29.10000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","FSM","Micronesia (Federated States of)","","2010","2010","","WPR","Western Pacific","","","","","37","36.55000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MCO","Monaco","","2010","2010","","EUR","Europe","","","","","18","18.37000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MNG","Mongolia","","2010","2010","","WPR","Western Pacific","","","","","28","27.61000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MNE","Montenegro","","2010","2010","","EUR","Europe","","","","","19","19.21000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MAR","Morocco","","2010","2010","","EMR","Eastern Mediterranean","","","","","28","28.01000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MOZ","Mozambique","","2010","2010","","AFR","Africa","","","","","44","44.09000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","MMR","Myanmar","","2010","2010","","SEAR","South-East Asia","","","","","26","25.64000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NAM","Namibia","","2010","2010","","AFR","Africa","","","","","36","36.42000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NRU","Nauru","","2010","2010","","WPR","Western Pacific","","","","","30","30.30000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NPL","Nepal","","2010","2010","","SEAR","South-East Asia","","","","","36","36.19000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NLD","Netherlands","","2010","2010","","EUR","Europe","","","","","18","17.70000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NZL","New Zealand","","2010","2010","","WPR","Western Pacific","","","","","20","20.49000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NIC","Nicaragua","","2010","2010","","AMR","Americas","","","","","34","34.46000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NER","Niger","","2010","2010","","AFR","Africa","","","","","49","48.97000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NGA","Nigeria","","2010","2010","","AFR","Africa","","","","","43","42.81000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NIU","Niue","","2010","2010","","WPR","Western Pacific","","","","","32","32.30000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","NOR","Norway","","2010","2010","","EUR","Europe","","","","","19","18.72000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","OMN","Oman","","2010","2010","","EMR","Eastern Mediterranean","","","","","27","27.16000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","PAK","Pakistan","","2010","2010","","EMR","Eastern Mediterranean","","","","","35","35.37000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","PLW","Palau","","2010","2010","","WPR","Western Pacific","","","","","30","30.30000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","PAN","Panama","","2010","2010","","AMR","Americas","","","","","29","28.96000","","",""
