"ISBN","Titles","AuthorFN","AuthorLN","TranslatorFN","TranslatorLN","Publisher","Genre","Price","Month","Year","Language","Country","OtherFN","OtherLN","Other Role"
"9780061452567","Chicago","Alaa Al","Aswany","Farouk Abdel","Wahab","HarperCollins","Fiction","$25.95 ","Oct",2008,"Arabic","Egypt",,,
"9780151013296","Only Son","Stephane","Audeguy","John","Cullen","Harcourt","Fiction","$25.00 ","Sept",2008,"French","France",,,
"9781579621681","Revelation of Fire","Alla","Avilova","Stephen","Mulrine","Permanent","Fiction","$28.00 ","Sept",2008,"Russian","Russia",,,
"9781903517598","Helena, or The Sea in Summer","Julian","Ayesta","Margaret Jull","Costa","Dedalus Books","Fiction","$12.99 ","May",2008,"Spanish","Spain",,,
"9781901285673","Beautiful Image","Marcel","Ayme","Sophie","Lewis","Pushkin Press","Fiction","$18.95 ","Feb",2008,"French","France",,,
"9789774161421","Cell Block Five","Fadhil Al","Azzawi","William M.","Hutchins","American University at Cairo","Fiction","$17.95 ","Apr",2008,"Arabic","Iraq",,,
"9781933382173","Wann-Chlore","Honore de","Balzac","Ed","Ford","Green Integer","Fiction","$16.95 ","Dec",2008,"French","France",,,
"9781931357555","Night, Morning","Hamutal","Bar-Yosef","Rachel Tzvia","Back","Sheep Meadow","Poetry","$19.95 ","Sept",2008,"Hebrew","Israel",,,
"9789774161414","Crane","Halim","Barakat","Bassam","Frangieh","American University at Cairo","Fiction","$18.95 ","May",2008,"Arabic","Syrian Arab Republic","Roger","Allen","Translator"
"9781933372600","Elegance of the Hedgehog","Muriel","Barbery","Alison","Anderson","Europa Editions","Fiction","$15.95 ","Sept",2008,"French","France",,,
"9780980033007","Tranquility","Attila","Bartis","Imre","Goldstein","Archipelago","Fiction","$15.00 ","Oct",2008,"Hungarian","Hungary",,,
"9780151012558","For a Sack of Bones","Lluis-Anton","Baulenas","Cheryl","Morgan","Harcourt","Fiction","$25.00 ","July",2008,"Catalan","Spain",,,
"9781934414170","Hymns of Job and Other Poems","Maya","Bejerano","Tsipi","Keller","BOA Editions","Poetry","$16.95 ","Nov",2008,"Hebrew","Israel",,,
"9780924047435","Burning Cartography","Noni","Benegas","Noel","Valis","Host Publications","Poetry","$12.00 ","Apr",2008,"Spanish","Argentina",,,
"9781933372440","Timeskipper","Stefano","Benni","Antony","Shugaar","Europa Editions","Fiction","$15.95 ","Apr",2008,"Italian","Italy",,,
"9781584350651","All the King's Horses","Michele","Bernstein","John","Kelsey","Semiotext(e)","Fiction","$14.95 ","Oct",2008,"French","France",,,
"9780815609124","Blood Test","Abbas","Beydoun","Max","Weiss","Syracuse University Press","Fiction","$16.95 ","Nov",2008,"Arabic","Lebanon",,,
"9780810124769","Tworki","Marek","Bienczyk","Benjamin","Paloff","Northwestern University Press","Fiction","$15.95 ","Feb",2008,"Polish","Poland",,,
"9780976717737","Stranger Among Us","Stacy","Bierlein","various","various","University of Illinois","Fiction","$22.95 ","Apr",2008,"Various","Various",,,
"9781416572657","Love Today","Maxim","Biller","Anthea","Bell","Simon & Schuster","Fiction","$23.00 ","June",2008,"German","Germany",,,
"9781592641932","Three Musketeers","Marcelo","Birmajer","Sharon","Wood","Toby Press","Fiction","$24.95 ","Oct",2008,"Spanish","Argentina",,,
"9781905847181","Scarred Hearts","Max","Blecher","Henry","Howard","Old Street","Fiction","$14.95 ","Oct",2008,"Romanian","Romania",,,
"9780924047541","Curse of Eve & Other Stories","Liliana","Blum","Toshiya","Kamei","Host Publications","Fiction","$15.00 ","Sept",2008,"Spanish","Mexico",,,
"9780374100148",2666,"Roberto","Bolano","Natasha","Wimmer","FSG","Fiction","$30.00 ","Nov",2008,"Spanish","Chile",,,
"9780811217057","Nazi Literature in the Americas","Roberto","Bolano","Chris","Andrews","New Directions","Fiction","$23.95 ","Feb",2008,"Spanish","Chile",,,
"9780811218016","Romantic Dogs","Roberto","Bolano","Laura","Healy","New Directions","Poetry","$14.95 ","Nov",2008,"Spanish","Chile",,,
"9780889225961","Slight Case of Fatigue","Stephane","Bourguignon","Phyllis","Aronoff","Talonbooks","Fiction","$18.95 ","Sept",2008,"French","Quebec","Howard","Scott","Translator"
"9780151012640","Verses and Versions","Brian","Boyd","Vladimir","Nabokov","Harcourt","Poetry","$40.00 ","Oct",2008,"Russian","Russia","Stanislav","Shvabrin","Editor"
"9781584350477","Pornocracy","Catherine","Breillat","Paul","Buck","Semiotext(e)","Fiction","$14.95 ","May",2008,"French","France","Catherine","Petit","Translator"
"9781592641352","Out of the Depths and Other Stories","Y. H.","Brenner","David","Patterson","Toby Press","Fiction","$14.95 ","Feb",2008,"Hebrew","Israel","Hillel","Halkin","Translator"
"9780143113096","Angel Maker","Stefan","Brijs","Hester","Velmans","Penguin","Fiction","$15.00 ","Dec",2008,"Dutch","Belgium",,,
"9781564784865","Contemporary Russian Poetry","Evgeny","Bunimovich","various","various","Dalkey Archive","Poetry","$14.95 ","Jan",2008,"Russian","Russia","Jim","Kates","Editor"
"9780714531380","Streets of Babylon","Carina","Burman","Sarah","Death","Marion Boyars","Fiction","$16.95 ","May",2008,"Swedish","Sweden",,,
"9780924047442","Cage","Astrid","Cabral","Alexis","Levitin","Host Publications","Poetry","$12.00 ","June",2008,"Portuguese","Brazil",,,
"9781594201813","Creator's Map","Emilio","Calderon","Katherine","Silver","Penguin","Fiction","$24.95 ","July",2008,"Spanish","Spain",,,
"9780143113003","Paper Moon","Andrea","Camilleri","Stephen","Sartarelli","Penguin","Fiction","$13.00 ","Mar",2008,"Italian","Italy",,,
"9781846590498","History of the World for Rebels and Somnambulists","Jesus del","Campo","Catherine","Mansfield","Telegram","Fiction","$13.95 ","Oct",2008,"Spanish","Spain",,,
"9781556437038","Angels Beneath the Surface: A Selection of Contemporary Slovene Fiction","Mitja","Cander","various","various","North Atlantic Books","Fiction","$15.95 ","Mar",2008,"Slovenian","Slovenia","Tom","Priestly","Editor"
"9780374531041","Sicilian Tragedee","Ottavio","Cappellani","Frederika","Randall","FSG","Fiction","$25.00 ","Oct",2008,"Italian","Italy",,,
"9781594489921","Island of Eternal Love","Daina","Chaviano","Andrea","Labinger","Riverhead","Fiction","$25.95 ","June",2008,"Spanish","Cuba",,,
"9781933648866","Night in the Cemetery and Other Stories of Crime and Suspense","Anton","Chekhov","Peter","Sekirin","Pegasus","Fiction","$25.00 ","Aug",2008,"Russian","Russia",,,
"9780863566479","Translating Libya: Modern Libyan Short Story","Ethan","Chorin","Various","Various","SOAS Middle East Issues","Fiction","$19.95 ","Aug",2008,"Arabic","Libyan Arab Jamahiriya",,,
"9780061578939","Brida","Paulo","Coelho","Montserrat","Mira","HarperCollins","Fiction","$24.95 ","July",2008,"Portuguese","Brazil",,,
"9781933372631","Tierra del Fuego","Francisco","Coloane","Howard","Curtis","Europa Editions","Fiction","$14.95 ","Dec",2008,"Spanish","Chile",,,
"9781583228487","Voice Over","Celine","Curiol","Sam","Richard","Seven Stories Press","Fiction","$24.95 ","Sept",2008,"French","France",,,
"9780312375690","Fourth Man","K. O.","Dahl","Don","Bartlett","St. Martin's","Fiction","$22.95 ","Mar",2008,"Norwegian","Norway",,,
"9780345499936","Cosmos Incorporated","Maurice","Dantec","Tina","Kover","Del Rey","Fiction","$15.00 ","May",2008,"French","France",,,
"9781846590269","Year of the Revolutionary New Bread-Making Machine","Hassan","Daoud","Randa","Jarrar","Telegram","Fiction","$13.95 ","Apr",2008,"Arabic","Lebanon",,,
"9780893042257","No!Love","Aleksey","Dayen","Aleksey","Dayen","Cross-Cultural Communications","Poetry","$15.00 ","Nov",2008,"Russian","Russia",,,
"9789508510976","Nuestra Voz: Volume 4","Rossi","de Fiori","various","various","Biblioteca de Textos Universitarios","Fiction","$20.00 ","July",2008,"Various","Various",,,
"9781893996946","Without Anesthesia: Selected Poems 1989-1999","Ales","Debeljak","Christopher","Merrill","White Pine","Poetry","$17.00 ","Apr",2008,"Slovenian","Slovenia",,,
"9780143113232","Chez Moi","Agnes","Desarthe","Adriana","Hunter","Penguin","Fiction","$14.00 ","Apr",2008,"French","France",,,
"9780976844990","Essential Poems and Writings","Robert","Desnos","Mary Ann","Caws","Black Widow Press","Poetry","$24.00 ","Jan",2008,"French","France","Various","See website","Translator"
"9780924047565","Old Man's Verses","Ivan","Divis","Deborah","Garfinkle","Host Publications","Poetry","$15.00 ","Sept",2008,"Czech","Czech Republic",,,
"9780856463976","Stone Sleeper","Mak","Dizdar","Francis","Jones","Anvil Press","Poetry","$18.95 ","Sept",2008,"Bosnian","Bosnia and Herzegovina",,,
"9781571314307","Black Dog, Black Night","Nguyen","Do","Paul","Hoover","Milkweed","Poetry","$18.00 ","Feb",2008,"Vietnamese","Viet Nam (Vietnam)",,,
"9781933996073","Divertimenti and Variations","Heimito von","Doderer","Vincent","Kling","Counterpath Press","Fiction","$17.95 ","June",2008,"German","Austria",,,
"9781931896450","Death's Homeland","Dragan","Dragojlovic","Stanislava","Lazarevic","Curbstone","Poetry","$13.95 ","Apr",2008,"Serbian","Serbia and Montenegro",,,
"9780618945177","White King","Gyorgy","Dragoman","Paul","Olchvary","Houghton Mifflin Harcourt","Fiction","$24.00 ","Mar",2008,"Hungarian","Hungary",,,
"9780143114154","Frida's Bed","Slavenka","Drakulic","Christina","Pribichevich-Zoric","Penguin","Fiction","$13.00 ","Sept",2008,"Croatian","Croatia",,,
"9781906300012","Equatoria","Tom","Dreyer","Michiel","Heyns","Aflame Books","Fiction","$15.95 ","Oct",2008,"Afrikaans","South Africa",,,
"9780720613001","Pushkin's Second Wife and Other Micronovels","Yuri","Druzhnikov","Thomas","Moore","Peter Owen Publishers","Fiction","$29.95 ","Mar",2008,"Russian","Russia",,,
"9781585679201","Voyage of the Short Serpent","Bernard","du Bucheron","Hester","Velmans","Overlook","Fiction","$24.95 ","Jan",2008,"French","France",,,
"9781886224865","You Are the Business","Caroline","Dubois","Cole","Swensen","Burning Deck Press","Poetry","$14.00 ","Feb",2008,"French","France",,,
"9781933633527","Customer Service","Benoit","Duteurtre","Bruce","Benderson","Melville House","Fiction","$13.00 ","July",2008,"French","France",,,
"9789774161407","Hunger","Mohamed","El-Bisatie","Denys","Johnson-Davies","American University at Cairo","Fiction","$17.95 ","Apr",2008,"Arabic","Egypt",,,
"9781901285819","Envy","Alain","Elkann","Alastair","McEwen","Pushkin Press","Fiction","$14.95 ","Apr",2008,"Italian","Italy",,,
"9781933382371","Acropolis and Tram","Nikos","Engonopoulos","Martin","McKinsey","Green Integer","Poetry","$13.95 ","Sept",2008,"Greek","Greece",,,
"9781583228555","Possession","Annie","Ernaux","Anna","Moschovakis","Seven Stories Press","Fiction","$13.95 ","Dec",2008,"French","France",,,
"9780374181185","King of a Hundred Horsemen","Marie","Etienne","Marilyn","Hacker","FSG","Poetry","$16.00 ","Oct",2008,"French","France",,,
"9780977857692","Waitress Was New","Dominique","Fabre","Jordan","Stump","Archipelago","Fiction","$15.00 ","Feb",2008,"French","France",,,
"9788860732958","I Kill","Giorgio","Faletti","Muriel","Jorgensen","Baldini Castoldi Dalai","Fiction","$24.95 ","June",2008,"Italian","Italy","Lenore Rosenberg","Anthony Shugaar","Translator"
"9780872864894","If I Were God","Forough","Farokhzad","Meetra","Sofia","City Lights","Poetry","$16.95 ","Aug",2008,"Persian","Iran, Islamic Republic of",,,
"9780195692174","Anthology of Modern Urdu Literature: Vol. II","Mehr Afshan","Farooqi","various","various","Oxford University Press","Fiction","$30.00 ","Jan",2008,"Urdu","India",,,
"9781897388204","Beloved of My Twenty-Seven Senses","Karen","Fastrup","Tara","Chace","Book Thug","Fiction","$25.00 ","May",2008,"Danish","Denmark",,,
"9780924047640","With Everything We've Got: A Personal Anthology of Yiddish Poetry","Richard","Fein","Richard","Fein","Host Publications","Poetry","$17.50 ","Nov",2008,"Yiddish","Various",,,
"9781897388303","Quixote Variations","Ramon","Fernandez","Alfred","Noyes","Book Thug","Poetry","$10.00 ","Sept",2008,"Spanish","Spain",,,
"9781933372426","Lost Daughter","Elena","Ferrante","Ann","Goldstein","Europa Editions","Fiction","$14.95 ","Mar",2008,"Italian","Italy",,,
"9781585679577","Truth about Sascha Knisch","Aris","Fioretos","Aris","Fioretos","Overlook","Fiction","$25.95 ","Mar",2008,"Swedish","Sweden",,,
"9780955233920","Final Silence","Ronald","Flores","Gavin","O'Toole","Aflame Books","Fiction","$15.95 ","May",2008,"Spanish","Guatemala",,,
"9780979018800","Tsar's Dwarf","Peter","Fogtdal","Tiina","Nunnally","Hawthorne Books","Fiction","$15.95 ","Sept",2008,"Danish","Denmark",,,
"9781934824023","Taker and Other Stories","Rubem","Fonseca","Clifford","Landers","Open Letter","Fiction","$15.95 ","Nov",2008,"Portuguese","Brazil",,,
"9780151015276","Black Seconds","Karin","Fossum","Charlotte","Barslund","Harcourt","Fiction","$24.00 ","July",2008,"Norwegian","Norway",,,
"9780375711602","Du Fu: A Life in Poetry","Du","Fu","David","Young","Knopf","Poetry","$17.95 ","Nov",2008,"Chinese","China",,,
"9781400066889","Happy Families","Carlos","Fuentes","Edith","Grossman","Random House","Fiction","$27.00 ","Oct",2008,"Spanish","Mexico",,,
"9781929280469","White-Haired Melody","Yoshikichi","Furui","Meredith","McKinney","University of Michigan Press","Fiction","$29.95 ","July",2008,"Japanese","Japan",,,
"9780553385083","Mule","Juan Eslava","Galan","Lisa","Dillman","Bantam","Fiction","$12.00 ","Feb",2008,"Spanish","Spain",,,
"9785717200820","Iramifications","Maria","Galina","Amanda Love","Darragh","Glas","Fiction","$15.95 ","Mar",2008,"Russian","Russia",,,
"9781933959047","Face Before Against","Isabelle","Garron","Sarah","Riggs","Litmus Books","Poetry","$15.00 ","Sept",2008,"French","France",,,
"9781590172711","My Fantoms","Theophile","Gautier","Richard","Holmes","New York Review Books","Fiction","$14.00 ","July",2008,"French","France",,,
"9781903517628","Magnus","Sylvie","Germain","Christine","Donougher","Dedalus Books","Fiction","$15.99 ","Feb",2008,"French","France",,,
"9780292718395","Fortune Told in Blood","Davud","Ghaffarzadegan","M. R.","Ghanoonparvar","University of Texas","Fiction","$16.00 ","June",2008,"Persian","Iran, Islamic Republic of",,,
"9781933372549","Death Rites","Alicia","Gimenez-Bartlett","Jonathan","Dunne","Europa Editions","Fiction","$16.95 ","June",2008,"Spanish","Spain",,,
"9781847671844","Night Work","Thomas","Glavinic","John","Brownjohn","Canongate","Fiction","$15.00 ","Nov",2008,"German","Germany",,,
"9781933254364","As it Turned Out","Dmitry","Golynko","Eugene","Ostashevsky","Ugly Duckling","Poetry","$15.00 ","Nov",2008,"Russian","Russia","Rebecca Bella","Simona Schneider","Translator"
"9780924047480","Looking for Horse Latitudes","Miguel","Gonzalez-Gerth","Miguel","Gonzalez-Gerth","Host Publications","Poetry","$15.00 ","Jan",2008,"Spanish","Mexico",,,
"9781582434339","Shot by Both Sides","Meisei","Goto","Tom","Gill","Counterpoint","Fiction","$25.00 ","Nov",2008,"Japanese","Japan",,,
"9781416559993","Memory","Philippe","Grimbert","Polly","McLean","Simon & Schuster","Fiction","$19.95 ","Feb",2008,"French","France",,,
"9781594201493","Jewish Messiah","Arnon","Grunberg","Sam","Garrett","Penguin","Fiction","$27.95 ","Jan",2008,"Dutch","Netherlands",,,
"9780979513763","Art Poetique","Eugene","Guillevic","Maureen","Smith","Black Widow Press","Poetry","$21.95 ","Sept",2008,"French","France","Lucie Albertini","Guillevic","Translator"
"9781556592751","Time in Xanadu","Lars","Gustafsson","John","Irons","Copper Canyon","Poetry","$16.00 ","June",2008,"Swedish","Sweden",,,
"9781592642519","World a Moment Later","Amir","Gutfreund","Jessica","Cohen","Toby Press","Fiction","$24.95 ","Nov",2008,"Hebrew","Israel",,,
"9781933372419","Have-Nots","Katharina","Hacker","Helen","Atkins","Europa Editions","Fiction","$14.95 ","Feb",2008,"German","Germany",,,
"9781932195620","Invitation to a Secret Feast","Joumana","Haddad","Khaled","Mattawa","Tupelo Press","Poetry","$16.95 ","May",2008,"Arabic","Lebanon",,,
"9788086264301","Of Kids and Parents","Emil","Hakl","Marek","Tomin","Twisted Spoon Press","Fiction","$15.00 ","Sept",2008,"Czech","Czech Republic",,,
"9780307394835","Mary of Nazareth","Marek","Halter","Howard","Curtis","Crown","Fiction","$24.00 ","Apr",2008,"French","France",,,
"9781592642168","Messiah","Marek","Halter","Lauren","Yoder","Toby Press","Fiction","$24.95 ","Apr",2008,"French","France",,,
"9781931896443","Baghdad, Mon Amour","Salah Al","Hamdani","Sonia","Alland","Curbstone","Poetry","$15.00 ","Apr",2008,"French","Iraq",,,
"9789774161506","Last Wager","Abdelilah","Hamdouchi","Jonathan","Smolin","American University at Cairo","Fiction","$17.95 ","May",2008,"Arabic","Morocco",,,
"9781904738251","Sinner","Petra","Hammesfahr","John","Brownjohn","Bitter Lemon","Fiction","$14.95 ","Feb",2008,"German","Germany",,,
"9780307267207","In Praise of the Unfinished","Julia","Hartwig","John","Carpenter","Knopf","Poetry","$25.00 ","Mar",2008,"Polish","Poland","Bogdana","Carpenter","Translator"
"9781556592881","Dream We Carry","Olav H.","Hauge","Robert","Bly","Copper Canyon","Poetry","$18.00 ","Oct",2008,"Norwegian","Norway","Robert","Hedin",
"9780805077681","Settlement","Christoph","Hein","Philip","Boehm","Metropolitan","Fiction","$26.00 ","Sept",2008,"German","Germany",,,
"9781590200629","Darkroom of Damocles","Willem Frederik","Hermans","Ina","Rilke","Overlook","Fiction","$27.95 ","June",2008,"Dutch","Netherlands",,,
"9789681685942","Sun, Stone, and Shadows: 20 Great Mexican Short Stories","Jorge","Hernandez","various","various","Fondo de Cultura Economica","Fiction","$10.00 ","June",2008,"Spanish","Mexico",,,
"9780374105365","Classical Chinese Poetry","David","Hinton","David","Hinton","FSG","Poetry","$35.00 ","Oct",2008,"Chinese","China",,,
"9780811217484","For the Fighting Spirit of the Walnut","Takashi","Hiraide","Sawao","Naayasu","New Directions","Poetry","$17.95 ","June",2008,"Japanese","Japan",,,
"9780374530938","Twentieth-Century German Poetry","Michael","Hoffmann","various","various","FSG","Poetry","$20.00 ","Mar",2008,"German","Germany",,,
"9781886224919","Secret of Breath","Isabelle Baladine","Howald","Elena","Rivera","Burning Deck Press","Poetry","$14.00 ","Oct",2008,"French","France",,,
"9788024614472","Pirouettes on a Postage Stamp","Bohumil","Hrabal","David","Short","Karolinum Press","Fiction","$20.00 ","June",2008,"Czech","Czech Republic",,,
"9781852429454","Castorp","Pawel","Huelle","Antonia","Lloyd-Jones","Serpent's Tail","Fiction","$14.95 ","Sept",2008,"Polish","Poland",,,
"9780979975509","Port Trakl","Jaime Luis","Huenun","Daniel","Borzutzky","Action Books","Poetry","$14.00 ","Jan",2008,"Spanish","Chile",,,
"9781556592874","Before Saying Any of the Great Words","David","Huerta","Mark","Schafer","Copper Canyon","Poetry","$20.00 ","Nov",2008,"Spanish","Mexico",,,
"9780863564369","Modern Arabic Short Stories","Ronak","Husni","Daniel","Newman","Saqi","Fiction","$24.95 ","June",2008,"Arabic","Various",,,
"9780979975516","Mommy Must Be a Mountain of Feathers","Kim","Hyesoon","Don Mee","Choi","Action Books","Poetry","$14.00 ","Jan",2008,"Korean","South Korea",,,
"9781852428815","Lizka and Her Men","Alexander","Ikonnikov","Andrew","Bromfield","Serpent's Tail","Fiction","$16.95 ","Apr",2008,"Russian","Russia",,,
"9780312358730","Draining Lake","Arnaldur","Indridason","Bernard","Scudder","St. Martin's","Fiction","$24.95 ","Sept",2008,"Icelandic","Iceland",,,
"9781933372594","Sun for the Dying","Jean-Claude","Izzo","Howard","Curtis","Europa Editions","Fiction","$16.95 ","Aug",2008,"French","France",,,
"9781933517360","New Exercises","Franck Andre","Jamme","Charles","Borkhuis","Wave Books","Poetry","$14.00 ","Dec",2008,"French","France",,,
"9781566892063","Secret Weapon: Selected Late Poems","Eugen","Jebeleanu","Matthew","Zapruder","Coffee House","Poetry","$15.00 ","Feb",2008,"Romanian","Romania","Radu","Ioanid","Translator"
"9780374110178","Beijing Coma","Ma","Jian","Flora","Drew","FSG","Fiction","$30.00 ","June",2008,"Chinese","China",,,
"9781905147748","To Steal Her Love","Matti","Joensuu","??","??","Arcadia","Fiction","$14.95 ","Sept",2008,"Finnish","Finland",,,
"9781564785015","Homage to Czerny: Studies in Virtuoso Technique","Gert","Jonke","Jean","Snook","Dalkey Archive","Fiction","$12.95 ","Oct",2008,"German","Austria",,,
"9780262101271","Castle of Dreams","Michel","Jouvet","Laurence","Garey","MIT","Fiction","$24.95 ","Sept",2008,"French","France",,,
"9780312363789","Inner Circle","Mari","Jungstedt","Tiina","Nunnally","St. Martin's","Fiction","$24.95 ","Dec",2008,"Swedish","Sweden",,,
"9781897231371","I Wrote Stone","Ryszard","Kapuscinski","Diana","Kuprel","Biblioasis","Poetry","$16.95 ","Feb",2008,"Polish","Poland",,,
"9781846590344","Metropole","Ferenc","Karinthy","George","Szirtes","Telegram","Fiction","$14.95 ","Oct",2008,"Hungarian","Hungary",,,
"9781558615755","Dearest Anne","Judith","Katzir","Dalya","Bilu","Feminist Press","Fiction","$15.95 ","May",2008,"Hebrew","Israel",,,
"9780307377449","Me and Kaminski","Daniel","Kehlmann","Carol Brown","Janeway","Pantheon","Fiction","$21.95 ","Nov",2008,"German","Germany",,,
"9780374531058","Girl on the Fridge","Etgar","Keret","Miriam","Shlesinger","FSG","Fiction","$12.00 ","Apr",2008,"Hebrew","Israel","Sondra","Silverston","Translator"
"9780307266446","Detective Story","Imre","Kertesz","Tim","Wilkinson","Knopf","Fiction","$21.00 ","Jan",2008,"Hungarian","Hungary",,,
"9781933633534","Pathseeker","Imre","Kertesz","Tim","Wilkinson","Melville House","Fiction","$13.00 ","Apr",2008,"Hungarian","Hungary",,,
"9781590200995","Child of All Nations","Irmgard","Keun","Michael","Hofmann","Overlook","Fiction","$22.95 ","Sept",2008,"German","Germany",,,
"9781906300029","Taxi","Khaled Al","Khamissi","Jonathan","Wright","Aflame Books","Fiction","$15.95 ","Apr",2008,"Arabic","Egypt",,,
"9780979333040","Yalo","Elias","Khoury","Peter","Theroux","Archipelago","Fiction","$25.00 ","Jan",2008,"Arabic","Lebanon",,,
"9781555974879","Nettles","Venus","Khoury-Ghata","Marilyn","Hacker","Graywolf","Poetry","$14.00 ","Jan",2008,"French","Lebanon",,,
"9780307267573","Real World","Natsuo","Kirino","Philip","Gabriel","Knopf","Fiction","$22.95 ","July",2008,"Japanese","Japan",,,
"9780967889375","Mansarda","Danilo","Kis","John","Cox","Serbian Classics Press","Fiction","$19.95 ","June",2008,"Serbian","Serbia and Montenegro",,,
"9781564784896","Budding Tree","Aiko","Kitahara","Ian","MacDonald","Dalkey Archive","Fiction","$21.95 ","Jan",2008,"Japanese","Japan",,,
"9781590512562","King of Corsica","Michael","Kleeberg","David","Dollenmayer","Other Press","Fiction","$24.95 ","Feb",2008,"German","Germany",,,
"9788086264332","Sufferings of Prince Sternenhoch","Ladislav","Klima","Carleton","Bulkin","Twisted Spoon Press","Fiction","$16.00 ","Jan",2008,"Czech","Czech Republic",,,
"9789774161438","Gold Dust","Ibrahim Al","Koni","Elliott","Colla","American University at Cairo","Fiction","$17.95 ","Apr",2008,"Arabic","Libyan Arab Jamahiriya",,,
"9781859642023","Seven Veils of Seth","Ibrahim al","Koni","William","Hutchins","Garnet Publishing","Fiction","$17.95 ","Sept",2008,"Arabic","Libyan Arab Jamahiriya",,,
"9781929631704","Paris Weekend","Sergei","Kostin","Todd","Bludeau","Enigma Books","Fiction","$15.00 ","Jan",2008,"Russian","Russia",,,
"9781933372587","Eros","Helmut","Krausser","Mike","Mitchell","Europa Editions","Fiction","$16.95 ","Aug",2008,"German","Germany",,,
"9780151012688","Executor: A Comedy of Letters","Michael","Kruger","John","Hargraves","Harcourt","Fiction","$23.00 ","Feb",2008,"German","Germany",,,
"9781933372617","Clash of Civilizations Over an Elevator in Piazza Vittorio","Amara","Lakhous","Ann","Goldstein","Europa Editions","Fiction","$14.95 ","Oct",2008,"Italian","Italy",,,
